카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년05월_계_40~49세,"43,760",249,500,"3,519","6,481","1,777",220,142,234,124,59,245,569,297,437,530,"3,577",946,"7,247",982,"1,161",324,298,443,"2,863","7,022","3,514"
2020년05월_계_50~59세,"49,183",563,936,"3,381","3,151","2,263",497,336,586,304,160,576,999,550,611,779,"4,382","1,173","8,758","1,364","1,770",493,508,562,"3,018","7,643","3,820"
2020년05월_계_60~69세,"32,512",517,870,"1,141","1,137","1,870",629,405,660,291,194,736,"1,083",566,787,733,"3,138","1,049","4,991","1,351","1,578",516,526,555,"2,032","3,691","1,466"
2020년05월_계_70~79세,"18,679",489,705,480,357,"1,181",628,334,654,333,179,630,943,445,560,610,"1,453",593,"1,940",953,"1,061",443,309,434,"1,078","1,429",458
2020년05월_계_80~89세,"9,980",374,520,265,148,661,469,232,475,233,133,412,742,265,265,281,653,266,789,368,408,179,146,174,582,732,208
2020년05월_계_90~99세,"1,545",59,68,26,31,96,66,44,64,35,33,55,105,52,40,34,102,44,132,61,57,36,28,23,100,118,36
2020년05월_계_100세 이상,62,0,1,3,0,1,1,1,0,7,1,3,4,4,4,1,7,4,7,1,0,0,2,5,3,2,0
2020년05월_남_총인구수,"140,159","1,357","2,412","9,213","16,013","6,157","1,492",872,"1,639",789,440,"1,598","2,817","1,436","1,896","2,372","11,863","3,261","22,404","3,910","4,621","1,420","1,296","1,644","9,313","20,098","9,826"
2020년05월_남_연령구간인구수,"140,159","1,357","2,412","9,213","16,013","6,157","1,492",872,"1,639",789,440,"1,598","2,817","1,436","1,896","2,372","11,863","3,261","22,404","3,910","4,621","1,420","1,296","1,644","9,313","20,098","9,826"
2020년05월_남_0~9세,"12,290",38,63,846,"3,026",448,30,19,37,12,17,40,73,36,77,78,889,197,"1,773",212,214,64,38,61,"1,159","1,873",970
