카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2020년06월_계_90~99세,"1,206",324,145,105,63,95,17,27,109,163,158,,,,
2020년06월_계_100세 이상,97,15,4,20,9,6,0,2,16,21,4,,,,
2020년06월_남_총인구수,"193,232","56,315","22,997","12,221","5,047","7,427",778,"1,427","22,076","30,950","33,994",,,,
2020년06월_남_연령구간인구수,"193,232","56,315","22,997","12,221","5,047","7,427",778,"1,427","22,076","30,950","33,994",,,,
2020년06월_남_0~9세,"18,399","5,898","1,938",725,266,526,21,74,"2,178","2,550","4,223",,,,
2020년06월_남_10~19세,"17,257","4,469","2,465",977,328,639,42,116,"2,027","2,855","3,339",,,,
2020년06월_남_20~29세,"23,523","6,975","2,761","1,589",559,615,58,88,"2,977","4,173","3,728",,,,
2020년06월_남_30~39세,"30,650","10,743","3,075","1,549",554,721,44,135,"3,403","4,557","5,869",,,,
2020년06월_남_40~49세,"34,743","10,368","4,182","1,958",810,"1,291",92,227,"3,825","5,455","6,535",,,,
2020년06월_남_50~59세,"31,898","8,320","4,106","2,534","1,006","1,273",143,283,"3,752","5,521","4,960",,,,
2020년06월_남_60~69세,"23,033","5,961","2,818","1,776",934,"1,344",204,285,"2,515","3,773","3,423",,,,
2020년06월_남_70~79세,"10,460","2,744","1,235",795,420,791,112,144,"1,078","1,610","1,531",,,,
2020년06월_남_80~89세,"2,977",757,388,286,151,205,54,69,300,412,355,,,,
2020년06월_남_90~99세,269,76,28,26,17,21,8,6,15,41,31,,,,
2020년06월_남_100세 이상,23,4,1,6,2,1,0,0,6,3,0,,,,
2020년06월_여_총인구수,"184,293","54,604","21,133","10,680","4,116","7,178",714,"1,240","21,340","30,140","33,148",,,,
2020년06월_여_연령구간인구수,"184,293","54,604","21,133","10,680","4,116","7,178",714,"1,240","21,340","30,140","33,148",,,,
2020년06월_여_0~9세,"17,393","5,530","1,815",704,235,520,21,78,"1,934","2,525","4,031",,,,
2020년06월_여_10~19세,"16,341","4,219","2,304",885,290,554,27,102,"1,990","2,833","3,137",,,,
2020년06월_여_20~29세,"21,024","6,355","2,436","1,268",407,498,54,91,"2,736","3,672","3,507",,,,
2020년06월_여_30~39세,"28,008","9,774","2,724","1,235",408,706,47,103,"3,229","3,970","5,812",,,,
2020년06월_여_40~49세,"30,866","9,080","3,679","1,636",538,"1,050",70,166,"3,542","5,109","5,996",,,,
2020년06월_여_50~59세,"30,718","8,749","3,479","2,024",777,"1,244",114,212,"3,620","5,625","4,874",,,,
2020년06월_여_60~69세,"22,856","6,348","2,581","1,527",749,"1,429",171,223,"2,461","3,813","3,554",,,,
