카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년06월_여_연령구간인구수,"197,726","13,227","20,732","11,508","11,498","7,246","6,313","11,979","13,151","13,361","9,902","11,187","10,057","8,366","10,373","22,203","16,623"
2020년06월_여_0~9세,"12,759","1,403","1,128",726,"1,217",314,461,836,942,437,582,563,610,353,522,"1,361","1,304"
2020년06월_여_10~19세,"14,419",844,"1,257",787,"1,007",446,580,904,889,661,536,695,852,389,750,"1,709","2,113"
2020년06월_여_20~29세,"33,661","1,704","3,739","1,593","1,209","1,770",906,"1,732","2,460","3,295","1,983","1,894","1,512","1,737","1,691","4,060","2,376"
2020년06월_여_30~39세,"34,387","2,758","3,395","1,918","2,018","1,120","1,009","1,989","2,281","2,826","2,000","2,110","1,573","1,644","1,813","3,711","2,222"
2020년06월_여_40~49세,"31,793","1,989","2,955","1,719","2,275","1,025","1,062","2,121","2,143","1,905","1,385","1,695","1,700","1,194","1,818","3,521","3,286"
2020년06월_여_50~59세,"27,583","1,950","3,401","1,838","1,471",936,893,"1,752","1,920","1,588","1,256","1,518","1,398","1,092","1,471","2,945","2,154"
2020년06월_여_60~69세,"20,926","1,358","2,311","1,394","1,099",749,629,"1,262","1,222","1,246","1,064","1,338","1,220",925,"1,182","2,300","1,627"
2020년06월_여_70~79세,"14,142",724,"1,577",876,743,549,504,915,816,875,696,912,820,651,778,"1,732",974
2020년06월_여_80~89세,"6,649",390,813,526,393,257,227,386,395,417,328,394,313,321,297,714,478
2020년06월_여_90~99세,"1,161",70,125,110,59,61,32,70,69,94,57,62,48,48,41,141,74
2020년06월_여_100세 이상,246,37,31,21,7,19,10,12,14,17,15,6,11,12,10,9,15
