카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동,경기도 광명시 일직동
2020년04월_계_연령구간인구수,"315,745","6,591","8,703","9,817","14,223","14,748","11,024","17,143","12,948","13,298","33,119","13,699","26,670","14,393","21,110","12,895","32,332","50,755","2,277",
2020년04월_계_0~9세,"25,226",312,359,420,723,937,940,980,"1,124",542,"3,067","1,110","2,544","1,096","1,650","1,146","3,225","4,979",72,
2020년04월_계_10~19세,"32,333",509,606,604,962,"1,340","1,147","1,616","1,584",964,"4,241","1,268","3,282","1,206","2,013","1,552","4,324","5,013",102,
2020년04월_계_20~29세,"40,981",915,"1,211","1,343","1,894","1,867","1,332","2,408","1,699","2,145","4,252","1,720","3,248","1,757","2,527","1,654","3,726","7,073",210,
2020년04월_계_30~39세,"44,766",867,"1,018","1,231","2,031","1,885","1,381","2,061","1,727","1,829","4,089","2,421","3,171","2,699","3,113","2,155","4,190","8,657",241,
2020년04월_계_40~49세,"54,610",962,"1,249","1,433","2,024","2,424","1,868","2,597","2,450","1,940","6,178","2,420","5,129","2,535","3,651","2,496","6,295","8,713",246,
2020년04월_계_50~59세,"52,484","1,262","1,665","1,885","2,491","2,561","1,862","3,119","2,157","2,757","5,498","2,186","4,472","2,160","3,295","1,948","4,831","7,883",452,
2020년04월_계_60~69세,"37,969",973,"1,445","1,581","2,347","2,102","1,450","2,582","1,302","1,947","3,544","1,530","2,925","1,545","2,487","1,135","3,486","5,086",502,
2020년04월_계_70~79세,"18,417",533,810,934,"1,243","1,126",729,"1,228",622,769,"1,490",752,"1,276",819,"1,489",507,"1,512","2,316",262,
2020년04월_계_80~89세,"7,693",225,300,338,425,444,266,481,236,346,651,264,528,490,765,269,609,891,165,
