카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년05월_계_50~59세,"77,441",843,"3,331",958,"2,782","3,488","1,977","2,343","1,323","1,639","3,011","1,234","5,029","1,288","5,071","5,973","4,277","4,764","7,104","3,592","5,537","5,256","2,478","4,143"
2020년05월_계_60~69세,"51,501",803,"2,609",863,"1,849","2,334","1,993","1,672","1,201","1,550","2,704",988,"3,381","1,258","3,496","4,038","2,932","3,110","3,112","2,465","3,342","1,851","2,197","1,753"
2020년05월_계_70~79세,"27,743",532,"1,611",435,"1,020","1,435","1,282",883,754,911,"1,770",492,"1,506",676,"1,817","1,852","1,449","1,613","1,570","1,129","1,581","1,133","1,231","1,061"
2020년05월_계_80~89세,"11,762",227,780,152,419,624,577,358,327,372,771,203,673,295,606,653,690,579,728,553,772,564,351,488
2020년05월_계_90~99세,"1,308",32,108,28,53,56,43,44,32,39,100,15,89,29,64,70,82,69,92,50,76,39,42,56
2020년05월_계_100세 이상,88,5,10,2,2,4,5,0,4,0,16,1,8,1,1,4,4,1,1,3,6,1,7,2
2020년05월_남_총인구수,"217,981","2,283","11,380","2,295","9,497","10,013","4,833","5,642","4,676","4,557","9,433","4,102","13,760","3,485","16,060","18,763","11,299","12,344","18,307","8,724","13,635","14,363","6,494","12,036"
2020년05월_남_연령구간인구수,"217,981","2,283","11,380","2,295","9,497","10,013","4,833","5,642","4,676","4,557","9,433","4,102","13,760","3,485","16,060","18,763","11,299","12,344","18,307","8,724","13,635","14,363","6,494","12,036"
2020년05월_남_0~9세,"17,821",119,"1,232",94,"1,190",947,140,322,155,179,671,100,"1,097",195,"1,569","2,399",728,903,"1,459",532,952,"1,287",356,"1,195"
2020년05월_남_10~19세,"23,107",150,"1,049",144,"1,165","1,186",275,514,265,283,611,220,"1,567",242,"1,907","1,632","1,017","1,362","2,768",870,"1,424","2,412",336,"1,708"
2020년05월_남_20~29세,"33,080",290,"1,340",284,"1,105","1,314",640,990,"1,289",739,"1,665","1,316","2,231",456,"1,793","2,181","1,985","1,988","2,900","1,422","2,389","2,203",801,"1,759"
2020년05월_남_30~39세,"28,322",279,"1,851",258,"1,397","1,224",459,643,669,632,"1,299",617,"1,778",491,"2,025","3,425","1,515","1,489","1,834",932,"1,665","1,426",945,"1,469"
2020년05월_남_40~49세,"35,903",350,"2,044",290,"1,796","1,677",663,736,641,602,"1,411",478,"2,120",489,"3,244","3,275","1,635","1,979","3,298","1,282","1,873","2,775",949,"2,296"
2020년05월_남_50~59세,"38,486",443,"1,618",504,"1,380","1,721","1,012","1,122",656,839,"1,496",589,"2,377",617,"2,725","2,844","2,052","2,273","3,580","1,776","2,653","2,718","1,304","2,187"
2020년05월_남_60~69세,"25,065",343,"1,261",460,846,"1,100",938,796,560,711,"1,250",487,"1,687",593,"1,728","2,008","1,478","1,433","1,585","1,224","1,730",931,"1,077",839
2020년05월_남_70~79세,"11,834",228,669,202,439,622,496,386,313,418,736,212,658,288,834,793,622,702,629,506,675,412,576,418
2020년05월_남_80~89세,"4,081",73,287,51,160,213,200,120,119,148,267,79,236,107,224,196,249,205,235,172,260,190,136,154
2020년05월_남_90~99세,265,6,28,7,19,9,8,13,9,6,22,3,8,7,11,9,18,10,19,8,13,8,13,11
2020년05월_남_100세 이상,17,2,1,1,0,0,2,0,0,0,5,1,1,0,0,1,0,0,0,0,1,1,1,0
2020년05월_여_총인구수,"219,585","2,398","12,151","2,011","10,125","10,641","4,900","5,771","4,401","4,196","9,272","3,471","13,993","3,481","15,404","18,919","11,217","12,816","18,693","8,692","13,715","15,110","5,974","12,234"
2020년05월_여_연령구간인구수,"219,585","2,398","12,151","2,011","10,125","10,641","4,900","5,771","4,401","4,196","9,272","3,471","13,993","3,481","15,404","18,919","11,217","12,816","18,693","8,692","13,715","15,110","5,974","12,234"
