년도,월,나이,연수구,옥련1동,옥련2동,선학동,연수1동,연수2동,연수3동,청학동,동춘1동,동춘2동,동춘3동,송도1동,송도2동,송도3동,송도4동,송도5동
2021,3,80,"2,416",220,182,195,170,189,183,294,140,133,143,187,127,127,63,63
2021,3,90,290,21,23,20,17,25,22,27,31,15,24,26,13,14,3,9
2021,3,100,11,0,0,0,0,2,2,4,0,0,0,0,1,2,0,0
2021,4,총,"194,282","9,732","10,272","8,949","10,896","10,523","7,841","12,965","12,589","9,041","9,176","18,787","18,082","23,965","12,396","19,068"
2021,4,0,"19,647",701,745,464,472,726,489,622,"1,188",703,762,"1,640","2,480","3,472","1,936","3,247"
2021,4,10,"22,150",969,"1,145",556,870,841,637,871,"1,349","1,015","1,457","2,912","3,243","3,032","1,467","1,786"
2021,4,20,"27,107","1,440","1,582","1,375","1,763","1,796","1,126","1,965","1,788","1,353","1,336","3,321","1,856","3,037","1,388","1,981"
2021,4,30,"28,540","1,209","1,218","1,291","1,524","1,667","1,162","1,742","1,858","1,328",802,"2,076","1,871","4,333","2,186","4,273"
2021,4,40,"34,026","1,523","1,639","1,306","1,865","1,500","1,042","1,928","2,017","1,384","1,538","3,039","3,979","4,886","2,607","3,773"
2021,4,50,"31,944","1,819","1,894","1,589","2,186","1,816","1,379","2,671","2,192","1,601","1,661","3,166","2,960","3,062","1,664","2,284"
2021,4,60,"20,834","1,251","1,288","1,563","1,470","1,447","1,285","2,058","1,560","1,136","1,068","1,828","1,202","1,524",835,"1,319"
2021,4,70,"7,287",577,556,587,556,513,511,781,467,370,384,588,347,472,247,331
2021,4,80,"2,441",219,183,198,173,189,186,297,136,136,144,191,130,132,63,64
2021,4,90,296,24,22,20,17,26,22,27,34,15,24,26,13,13,3,10
2021,4,100,10,0,0,0,0,2,2,3,0,0,0,0,1,2,0,0
2021,5,총,"194,351","9,696","10,260","8,948","10,870","10,476","7,823","12,976","12,580","9,012","9,165","18,823","18,071","23,980","12,430","19,241"
2021,5,0,"19,574",698,742,469,460,716,484,611,"1,183",697,757,"1,629","2,472","3,446","1,930","3,280"
2021,5,10,"22,137",960,"1,150",552,860,833,632,871,"1,342","1,008","1,465","2,909","3,234","3,044","1,470","1,807"
2021,5,20,"27,074","1,426","1,565","1,366","1,764","1,786","1,122","1,974","1,776","1,340","1,326","3,341","1,864","3,033","1,397","1,994"
2021,5,30,"28,476","1,198","1,212","1,288","1,516","1,658","1,165","1,732","1,840","1,335",801,"2,084","1,852","4,314","2,189","4,292"
2021,5,40,"34,017","1,512","1,646","1,314","1,852","1,483","1,035","1,930","2,025","1,369","1,512","3,040","3,979","4,899","2,596","3,825"
2021,5,50,"31,956","1,814","1,897","1,581","2,181","1,811","1,371","2,658","2,188","1,594","1,670","3,174","2,950","3,077","1,689","2,301"
2021,5,60,"21,054","1,260","1,291","1,577","1,496","1,469","1,286","2,073","1,590","1,147","1,076","1,845","1,232","1,547",841,"1,324"
2021,5,70,"7,313",583,558,585,551,508,515,790,473,370,386,586,342,472,251,343
2021,5,80,"2,452",223,176,197,173,185,189,307,134,136,148,190,132,132,65,65
2021,5,90,288,22,23,19,17,25,21,27,29,16,24,25,14,14,2,10
2021,5,100,10,0,0,0,0,2,3,3,0,0,0,0,0,2,0,0
2021,6,총,"194,215","9,679","10,225","8,956","10,838","10,476","7,817","12,913","12,550","8,991","9,126","18,730","18,057","23,998","12,484","19,375"
2021,6,0,"19,510",697,732,471,464,710,479,602,"1,182",689,746,"1,606","2,460","3,448","1,933","3,291"
2021,6,10,"22,108",969,"1,148",545,855,826,625,863,"1,334","1,002","1,458","2,867","3,252","3,054","1,482","1,828"
2021,6,20,"26,988","1,408","1,553","1,377","1,755","1,790","1,122","1,965","1,769","1,331","1,321","3,317","1,854","3,014","1,412","2,000"
2021,6,30,"28,358","1,192","1,211","1,278","1,496","1,667","1,161","1,726","1,825","1,331",788,"2,066","1,837","4,289","2,179","4,312"
2021,6,40,"34,025","1,518","1,634","1,315","1,857","1,472","1,032","1,903","2,033","1,362","1,500","3,032","3,986","4,910","2,600","3,871"
2021,6,50,"31,926","1,796","1,882","1,575","2,168","1,811","1,366","2,657","2,168","1,599","1,674","3,172","2,942","3,095","1,703","2,318"
2021,6,60,"21,232","1,274","1,301","1,593","1,501","1,485","1,303","2,076","1,608","1,156","1,074","1,866","1,240","1,561",855,"1,339"
2021,6,70,"7,311",577,565,580,551,507,514,790,469,368,390,586,342,480,249,343
2021,6,80,"2,461",226,178,204,174,181,191,299,134,136,151,193,131,131,69,63
2021,6,90,286,22,21,18,17,25,21,29,28,17,24,25,13,14,2,10
2021,6,100,10,0,0,0,0,2,3,3,0,0,0,0,0,2,0,0
2021,7,총,"194,088","9,684","10,166","8,950","10,763","10,457","7,781","12,949","12,526","8,965","9,121","18,671","18,068","24,005","12,482","19,500"
2021,7,0,"19,440",693,718,472,453,704,477,605,"1,183",685,738,"1,596","2,453","3,443","1,925","3,295"
2021,7,10,"22,098",964,"1,144",543,840,823,621,861,"1,330","1,000","1,463","2,839","3,255","3,075","1,483","1,857"
2021,7,20,"26,788","1,420","1,543","1,367","1,728","1,777","1,102","1,944","1,755","1,319","1,311","3,256","1,865","2,985","1,412","2,004"
2021,7,30,"28,304","1,193","1,190","1,280","1,496","1,671","1,152","1,749","1,800","1,321",781,"2,093","1,817","4,286","2,158","4,317"
2021,7,40,"34,030","1,498","1,623","1,307","1,850","1,462","1,029","1,908","2,042","1,353","1,507","3,025","3,994","4,900","2,612","3,920"
2021,7,50,"31,960","1,813","1,867","1,577","2,155","1,809","1,360","2,660","2,159","1,600","1,673","3,184","2,950","3,100","1,716","2,337"
2021,7,60,"21,377","1,270","1,321","1,600","1,505","1,492","1,308","2,099","1,623","1,166","1,080","1,877","1,251","1,584",851,"1,350"
2021,7,70,"7,318",585,556,581,546,510,514,790,467,368,393,582,342,482,255,347
2021,7,80,"2,483",226,183,206,173,183,195,303,138,138,151,194,130,133,67,63
2021,7,90,280,22,21,17,17,24,20,27,29,15,24,25,11,15,3,10
2021,7,100,10,0,0,0,0,2,3,3,0,0,0,0,0,2,0,0
2021,8,총,"193,801","9,641","10,104","8,938","10,750","10,453","7,748","12,937","12,521","8,953","9,099","18,593","18,054","23,988","12,486","19,536"
2021,8,0,"19,293",678,706,463,453,707,475,590,"1,176",676,739,"1,576","2,441","3,412","1,915","3,286"
