년도,월,나이,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동
2020,7,30,"56,705","17,816","1,335",199,160,200,134,115,349,55,289,245,496,567,"1,367","1,284","3,703","4,390","2,928","38,889","1,257","1,642","1,596",466,"1,317","3,411","1,039","2,623","1,216","3,463","7,515","4,691","8,653",,
2020,7,40,"57,825","22,325","2,379",283,249,287,213,163,440,127,399,287,681,731,"1,529","2,302","4,581","5,099","2,575","35,500","2,166","2,268","2,019",675,"1,364","2,134",971,"3,203","1,537","3,911","6,798","3,529","4,925",,
2020,7,50,"52,785","22,556","2,349",443,480,495,363,271,615,265,640,391,923,999,"1,714","2,139","3,422","4,170","2,877","30,229","2,332","2,016","1,878",998,"1,725","1,905","1,201","3,180","1,688","2,812","4,367","3,145","2,982",,
2020,7,60,"30,784","15,104","1,379",490,511,457,400,270,581,269,583,382,695,728,"1,161","1,261","1,531","2,452","1,954","15,680","1,917","1,223","1,137",804,"1,148","1,201",912,"1,493",915,"1,171","1,289","1,298","1,172",,
2020,7,70,"13,407","7,037",668,255,263,248,231,146,272,176,326,169,388,459,464,583,531,992,866,"6,370","1,117",542,498,442,545,419,331,498,329,407,392,528,322,,
2020,7,80,"5,075","2,732",297,108,120,123,93,97,146,96,122,65,131,194,132,185,183,346,294,"2,343",463,208,230,191,174,124,112,188,126,107,130,195,95,,
2020,7,90,488,264,31,12,17,10,6,5,17,9,13,11,14,13,12,16,23,35,20,224,37,20,18,31,16,12,16,16,11,15,13,12,7,,
2020,7,100,46,23,0,0,0,0,1,0,1,1,4,0,2,2,3,4,1,3,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0,,
2020,8,총,"335,724","131,244","12,393","2,240","2,196","2,239","1,723","1,265","3,238","1,151","2,928","1,936","4,594","4,899","9,261","12,251","23,035","28,019","17,876","204,480","12,809","11,561","10,534","4,637","8,557","13,730","6,994","18,781","9,299","20,443","35,096","22,351","29,688",,
2020,8,0,"32,276","10,775",908,82,61,73,47,27,123,18,89,48,236,153,574,"1,154","2,571","3,181","1,430","21,501",669,969,721,156,419,513,486,"1,791",742,"2,965","5,437","1,891","4,742",,
2020,8,10,"35,683","13,773","1,485",127,119,131,91,51,183,53,165,85,412,390,772,"1,690","3,084","3,586","1,349","21,910","1,233","1,237","1,008",313,519,714,650,"2,657","1,303","2,914","4,748","2,070","2,544",,
2020,8,20,"50,454","18,833","1,537",242,205,224,140,117,516,83,294,263,623,664,"1,495","1,650","3,378","3,789","3,613","31,621","1,625","1,435","1,424",559,"1,339","3,277","1,271","3,137","1,428","2,695","4,379","4,836","4,216",,
2020,8,30,"56,604","17,757","1,342",199,160,200,128,115,346,55,297,242,498,569,"1,389","1,278","3,693","4,344","2,902","38,847","1,245","1,630","1,595",464,"1,318","3,422","1,031","2,609","1,217","3,436","7,498","4,734","8,648",,
2020,8,40,"57,779","22,259","2,372",277,252,280,216,165,436,127,395,285,670,720,"1,535","2,287","4,580","5,082","2,580","35,520","2,139","2,259","2,012",677,"1,353","2,128",976,"3,198","1,527","3,919","6,797","3,583","4,952",,
2020,8,50,"52,807","22,532","2,353",444,478,484,367,271,616,265,642,388,917,996,"1,706","2,131","3,430","4,188","2,856","30,275","2,344","2,022","1,879",996,"1,722","1,909","1,198","3,173","1,685","2,803","4,399","3,166","2,979",,
2020,8,60,"31,053","15,225","1,393",493,521,465,403,268,580,269,581,383,703,746,"1,173","1,274","1,551","2,464","1,958","15,828","1,924","1,237","1,147",809,"1,158","1,212",920,"1,508",928,"1,184","1,299","1,322","1,180",,
2020,8,70,"13,434","7,047",668,254,260,248,230,148,271,176,326,168,388,452,467,578,540,999,874,"6,387","1,119",541,502,437,540,420,332,503,331,404,397,539,322,,
