년도,월,나이,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021,7,총,"101,856","10,811","4,030","3,828","3,177","2,224","3,195","1,226","4,203","5,753","4,414","3,059","28,406","9,662","4,707","9,063","4,098"
2021,7,0,"5,632",384,103,99,70,59,75,15,113,241,78,84,"2,340",723,160,858,230
2021,7,10,"6,645",466,129,207,94,96,128,39,138,209,127,84,"2,783",926,268,757,194
2021,7,20,"9,958",920,273,211,162,115,180,80,252,859,245,195,"3,402","1,230",479,987,368
2021,7,30,"9,212",746,266,202,165,89,161,42,207,438,223,189,"3,358","1,083",371,"1,247",425
2021,7,40,"12,406","1,195",344,334,263,164,229,67,353,495,385,241,"4,492","1,456",508,"1,402",478
2021,7,50,"18,006","2,198",707,636,566,397,591,262,699,828,761,544,"5,089","1,643",862,"1,447",776
2021,7,60,"19,351","2,360","1,057",959,784,585,846,313,"1,018","1,162","1,141",858,"3,951","1,338",979,"1,230",770
2021,7,70,"12,617","1,586",713,692,617,387,597,222,860,910,850,509,"1,900",814,687,758,515
2021,7,80,"7,178",865,391,433,407,287,339,164,506,556,537,314,981,404,353,343,298
2021,7,90,829,89,46,54,48,43,48,21,57,54,63,40,106,44,39,33,44
2021,7,100,22,2,1,1,1,2,1,1,0,1,4,1,4,1,1,1,0
2021,8,총,"101,881","10,751","4,027","3,818","3,162","2,207","3,202","1,223","4,201","5,729","4,428","3,061","28,387","9,691","4,711","9,170","4,113"
2021,8,0,"5,621",377,104,100,67,54,78,15,114,244,79,84,"2,332",710,153,874,236
2021,8,10,"6,633",461,129,200,94,93,128,37,142,211,127,84,"2,775",934,268,756,194
2021,8,20,"9,910",904,276,216,161,113,175,83,252,810,254,196,"3,382","1,234",484,"1,005",365
2021,8,30,"9,194",731,260,205,159,86,164,38,208,427,224,192,"3,364","1,084",367,"1,261",424
2021,8,40,"12,372","1,175",343,327,260,160,229,67,349,500,385,241,"4,469","1,453",517,"1,417",480
2021,8,50,"18,027","2,195",709,631,565,397,582,260,693,838,759,539,"5,092","1,660",861,"1,468",778
2021,8,60,"19,398","2,356","1,048",959,782,580,852,317,"1,014","1,172","1,137",861,"3,975","1,347",978,"1,244",776
2021,8,70,"12,673","1,593",720,693,619,390,597,220,867,914,856,513,"1,910",814,684,766,517
2021,8,80,"7,183",865,390,430,403,287,345,163,507,557,537,311,978,409,358,345,298
2021,8,90,848,92,47,56,51,45,51,22,54,55,67,39,106,45,40,33,45
2021,8,100,22,2,1,1,1,2,1,1,1,1,3,1,4,1,1,1,0
2021,9,총,"101,670","10,696","4,023","3,795","3,166","2,196","3,212","1,218","4,194","5,647","4,411","3,058","28,328","9,681","4,686","9,274","4,085"
2021,9,0,"5,586",373,102,98,64,52,78,15,114,244,78,82,"2,314",714,148,873,237
2021,9,10,"6,597",449,129,199,93,89,129,35,143,213,127,81,"2,751",937,259,775,188
2021,9,20,"9,701",879,267,203,166,111,177,80,247,723,243,197,"3,345","1,230",476,"1,007",350
2021,9,30,"9,145",730,257,206,156,81,162,39,206,421,213,187,"3,347","1,079",365,"1,276",420
2021,9,40,"12,355","1,155",348,324,260,161,231,62,347,498,387,245,"4,470","1,438",506,"1,454",469
