년도,월,나이,화성시,봉담읍,우정읍,향남읍,남양읍,매송면,비봉면,마도면,송산면,서신면,팔탄면,장안면,양감면,정남면,새솔동,진안동,병점1동,병점2동,반월동,기배동,화산동,동탄1동,동탄2동,동탄3동,동탄4동,동탄5동,동탄6동,동탄7동,동탄8동
2020,11,0,"53,644","4,178",488,"5,528","2,147",152,125,156,234,83,165,227,57,224,"1,973","2,299","1,401","1,285","2,234",702,950,"3,272","2,233","3,039","4,822","3,200","2,323","7,595","2,552"
2020,11,10,"49,276","4,924",740,"5,129","1,824",257,183,224,436,169,253,335,88,418,"1,039","2,018","1,597","2,006","2,067",928,"1,198","3,560","3,343","2,789","4,451","2,113","1,527","4,516","1,144"
2020,11,20,"56,055","5,416","1,087","5,619","3,318",460,351,466,576,365,639,614,271,835,"1,247","4,037","2,657","1,489","2,190",936,"1,770","4,195","1,891","3,399","2,122","2,312","2,185","4,185","1,423"
2020,11,30,"78,759","5,821",962,"8,889","4,191",386,317,497,525,310,688,569,249,752,"2,410","5,029","2,386","1,519","2,939",818,"1,665","4,919","1,972","4,335","4,138","4,994","4,005","9,616","3,858"
2020,11,40,"87,191","8,199","1,661","9,538","3,844",538,441,675,821,512,994,863,343,"1,045","2,116","4,349","2,599","2,637","3,127","1,364","2,199","5,205","4,262","4,397","6,836","4,128","3,106","8,776","2,616"
2020,11,50,"61,841","6,607","2,020","6,007","3,535",864,716,874,"1,267",929,"1,502","1,371",597,"1,484","1,288","3,108","2,033","1,710","2,211","1,185","2,182","3,495","2,509","2,178","2,919","2,063","1,740","4,220","1,227"
2020,11,60,"35,288","3,931","1,411","3,201","2,401",677,670,697,"1,102",918,"1,114","1,129",518,"1,092",588,"1,719","1,173",733,"1,246",670,"1,498","1,179",942,903,993,"1,112",795,"2,136",740
2020,11,70,"14,971","1,738",777,"1,314","1,012",328,317,364,590,423,428,522,220,506,122,686,501,399,371,321,621,454,433,510,334,471,270,713,226
2020,11,80,"5,149",517,293,483,344,131,158,131,289,213,181,254,96,200,36,233,179,143,90,89,191,135,151,161,80,115,70,122,64
2020,11,90,421,47,27,31,26,13,16,11,34,18,23,18,9,14,2,20,10,5,13,6,8,9,5,16,6,8,8,15,3
2020,11,100,36,4,3,5,0,2,2,0,0,3,0,6,0,2,0,1,0,0,2,0,2,0,1,0,0,0,1,2,0
2020,12,총,"443,841","41,530","9,448","45,905","22,700","3,810","3,301","4,093","5,867","3,940","6,016","5,924","2,441","6,593","10,838","23,574","14,595","11,932","16,453","6,990","12,278","26,487","17,716","21,746","26,651","20,613","16,061","42,275","14,064"
2020,12,0,"53,416","4,141",478,"5,523","2,143",146,127,148,228,83,165,226,56,217,"1,978","2,294","1,372","1,282","2,212",690,940,"3,279","2,218","3,028","4,788","3,173","2,321","7,568","2,592"
2020,12,10,"49,446","4,952",738,"5,134","1,812",260,181,224,430,168,252,336,88,421,"1,040","2,010","1,607","2,007","2,074",928,"1,191","3,565","3,332","2,786","4,473","2,122","1,543","4,583","1,189"
