년도,월,나이,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2021,4,0,"3,651",387,290,59,269,566,374,411,96,90,58,115,334,64,101,171,133,133
2021,4,10,"5,458",530,376,81,416,808,543,435,152,117,140,219,700,108,224,254,192,163
2021,4,20,"11,865",796,670,143,615,"1,197",493,664,260,450,551,871,"2,234",287,550,438,404,"1,242"
2021,4,30,"9,943",873,828,174,625,"1,202",508,911,306,408,306,638,965,224,362,478,402,733
2021,4,40,"11,112","1,167",826,189,867,"1,503",766,952,381,363,232,479,"1,153",296,497,466,425,550
2021,4,50,"12,440","1,037",845,194,917,"1,770",665,821,376,394,397,545,"1,215",469,851,645,575,724
2021,4,60,"10,117",753,653,216,692,"1,378",546,630,309,504,321,491,851,450,709,513,477,624
2021,4,70,"6,688",563,453,138,423,759,343,435,235,346,264,318,750,260,455,283,312,351
2021,4,80,"3,573",308,265,96,219,464,175,197,112,199,121,200,400,154,194,154,146,169
2021,4,90,656,45,46,16,52,119,31,32,28,42,24,25,70,23,29,24,25,25
2021,4,100,43,6,3,5,3,5,1,1,1,2,1,1,5,0,5,0,3,1
2021,5,총,"75,173","6,460","5,147","1,305","5,079","9,728","4,442","5,478","2,260","2,937","2,430","3,874","8,582","2,296","3,937","3,414","3,089","4,715"
2021,5,0,"3,627",383,280,58,264,570,372,409,92,89,56,116,338,67,98,170,134,131
2021,5,10,"5,437",532,373,79,419,800,546,438,154,121,143,209,687,106,226,251,193,160
2021,5,20,"11,876",791,664,147,608,"1,206",490,659,264,455,553,865,"2,246",285,557,436,403,"1,247"
2021,5,30,"9,877",869,821,174,623,"1,192",505,893,304,402,315,623,960,224,360,479,396,737
2021,5,40,"11,024","1,169",812,185,855,"1,492",757,958,380,371,233,469,"1,135",287,491,459,430,541
2021,5,50,"12,400","1,033",830,190,924,"1,759",674,824,379,402,393,548,"1,200",459,846,646,573,720
2021,5,60,"10,098",760,634,217,687,"1,392",545,631,310,503,324,493,843,443,692,513,479,632
2021,5,70,"6,580",563,422,138,422,731,344,438,237,347,269,323,703,253,447,282,309,352
2021,5,80,"3,559",307,258,95,222,463,177,195,112,201,120,202,398,149,190,156,145,169
2021,5,90,654,47,50,17,52,118,31,32,27,44,23,25,67,23,27,22,24,25
2021,5,100,41,6,3,5,3,5,1,1,1,2,1,1,5,0,3,0,3,1
2021,6,총,"75,044","6,444","5,146","1,307","5,064","9,726","4,441","5,469","2,266","2,921","2,401","3,875","8,540","2,302","3,922","3,411","3,073","4,736"
2021,6,0,"3,624",382,282,58,263,563,372,408,92,90,56,116,337,69,97,170,133,136
