년도,월,나이,양평군,양평읍,강상면,강하면,양서면,옥천면,서종면,단월면,청운면,양동면,지평면,용문면,개군면
2021,8,총,"120,954","30,843","10,486","4,826","14,014","8,167","9,892","3,894","3,789","4,634","6,959","18,221","5,229"
2021,8,0,"7,197","2,163",908,180,750,483,618,127,104,133,240,"1,252",239
2021,8,10,"10,070","3,207",960,251,"1,158",578,877,219,154,201,385,"1,764",316
2021,8,20,"10,680","3,579",823,338,"1,262",757,610,251,218,278,476,"1,693",395
2021,8,30,"10,788","3,173","1,166",363,"1,181",785,840,271,196,289,420,"1,728",376
2021,8,40,"16,336","4,771","1,685",509,"1,853","1,081","1,503",414,358,385,725,"2,453",599
2021,8,50,"20,719","5,338","1,619",882,"2,431","1,423","1,734",672,658,904,"1,208","2,949",901
2021,8,60,"24,317","4,779","1,869","1,312","2,865","1,712","2,163","1,021","1,049","1,210","1,773","3,284","1,280"
2021,8,70,"13,192","2,437",969,698,"1,658",887,"1,045",560,607,712,"1,015","1,893",711
2021,8,80,"6,583","1,230",425,249,729,401,417,314,391,434,601,"1,026",366
2021,8,90,"1,026",159,58,41,115,59,82,44,51,84,113,175,45
2021,8,100,46,7,4,3,12,1,3,1,3,4,3,4,1
2021,9,총,"120,997","30,872","10,485","4,823","13,973","8,182","9,933","3,907","3,800","4,650","6,974","18,180","5,218"
2021,9,0,"7,168","2,146",900,179,755,483,617,124,102,131,246,"1,247",238
2021,9,10,"9,985","3,208",956,252,"1,096",579,885,220,158,202,386,"1,731",312
2021,9,20,"10,652","3,578",822,332,"1,260",753,605,249,216,278,471,"1,701",387
2021,9,30,"10,729","3,152","1,164",359,"1,171",779,834,268,191,287,416,"1,730",378
2021,9,40,"16,320","4,783","1,675",504,"1,855","1,084","1,518",412,359,390,724,"2,425",591
2021,9,50,"20,766","5,343","1,630",883,"2,444","1,419","1,736",680,662,905,"1,209","2,951",904
2021,9,60,"24,477","4,816","1,880","1,317","2,876","1,726","2,178","1,037","1,057","1,220","1,785","3,300","1,285"
2021,9,70,"13,198","2,447",972,700,"1,654",888,"1,047",561,611,710,"1,016","1,887",705
2021,9,80,"6,624","1,228",425,252,734,411,426,310,390,440,600,"1,037",371
2021,9,90,"1,030",163,57,42,116,59,84,45,50,83,118,167,46
2021,9,100,48,8,4,3,12,1,3,1,4,4,3,4,1
2021,10,총,"121,188","30,902","10,499","4,831","13,981","8,229","9,957","3,908","3,810","4,672","7,006","18,150","5,243"
2021,10,0,"7,132","2,137",897,178,758,482,624,120,99,131,246,"1,228",232
2021,10,10,"9,947","3,208",971,250,"1,075",580,875,218,155,207,383,"1,708",317
2021,10,20,"10,653","3,579",816,339,"1,266",750,611,248,219,276,473,"1,688",388
2021,10,30,"10,722","3,153","1,153",357,"1,177",777,849,268,190,294,416,"1,711",377
2021,10,40,"16,292","4,755","1,682",504,"1,850","1,090","1,502",412,357,388,722,"2,430",600
2021,10,50,"20,803","5,348","1,636",882,"2,441","1,427","1,745",681,667,901,"1,218","2,947",910
2021,10,60,"24,668","4,854","1,881","1,316","2,892","1,752","2,187","1,046","1,066","1,231","1,817","3,333","1,293"
2021,10,70,"13,212","2,446",970,708,"1,661",888,"1,051",561,608,713,"1,008","1,889",709
2021,10,80,"6,665","1,248",430,250,735,425,427,308,394,436,604,"1,039",369
2021,10,90,"1,045",166,59,44,114,57,83,45,50,91,117,172,47
2021,10,100,49,8,4,3,12,1,3,1,5,4,2,5,1
2021,11,총,"121,154","30,901","10,513","4,844","13,924","8,279","9,988","3,898","3,812","4,674","7,001","18,070","5,250"
2021,11,0,"7,112","2,144",883,181,752,482,627,122,100,131,240,"1,222",228
2021,11,10,"9,794","3,198",959,249,"1,034",581,877,215,153,205,379,"1,626",318
2021,11,20,"10,614","3,584",823,337,"1,252",751,620,245,221,276,473,"1,646",386
2021,11,30,"10,698","3,139","1,147",363,"1,170",783,847,270,191,298,423,"1,692",375
2021,11,40,"16,298","4,752","1,677",511,"1,840","1,094","1,508",408,351,389,711,"2,451",606
2021,11,50,"20,849","5,344","1,647",876,"2,455","1,432","1,745",686,669,903,"1,225","2,961",906
2021,11,60,"24,802","4,878","1,903","1,326","2,904","1,775","2,199","1,039","1,075","1,228","1,821","3,350","1,304"
2021,11,70,"13,209","2,451",974,699,"1,661",894,"1,060",558,599,713,"1,003","1,893",704
2021,11,80,"6,679","1,236",433,254,734,430,421,309,398,435,604,"1,051",374
2021,11,90,"1,057",167,63,45,117,56,82,45,50,91,120,173,48
2021,11,100,42,8,4,3,5,1,2,1,5,5,2,5,1
2021,12,총,"121,230","30,966","10,510","4,865","13,935","8,301","9,982","3,895","3,802","4,675","7,038","18,021","5,240"
2021,12,0,"7,074","2,122",874,182,755,485,624,120,98,128,240,"1,224",222
2021,12,10,"9,720","3,219",958,250,"1,019",578,884,212,147,210,385,"1,541",317
2021,12,20,"10,589","3,568",823,333,"1,244",763,611,252,222,273,484,"1,631",385
2021,12,30,"10,701","3,127","1,147",369,"1,173",787,848,263,192,293,423,"1,708",371
2021,12,40,"16,311","4,761","1,676",513,"1,839","1,093","1,510",403,351,397,707,"2,448",613
2021,12,50,"20,936","5,386","1,650",875,"2,467","1,440","1,737",691,663,898,"1,242","2,981",906
2021,12,60,"24,897","4,911","1,902","1,338","2,918","1,779","2,196","1,044","1,078","1,237","1,825","3,363","1,306"
2021,12,70,"13,200","2,464",973,696,"1,661",890,"1,066",554,593,712,"1,000","1,896",695
2021,12,80,"6,724","1,241",444,262,737,431,425,309,402,432,610,"1,055",376
2021,12,90,"1,042",162,62,44,117,54,79,46,51,90,119,170,48
2021,12,100,36,5,1,3,5,1,2,1,5,5,3,4,1
