년도,월,나이,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021,2,100,48,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,2,6
2021,3,총,"172,703","7,845","4,922","9,905","10,797","9,576","5,851","10,722","9,856","11,211","8,716","11,236","4,964","5,628","9,706","8,294","8,128","5,480","14,139","5,700","10,027"
2021,3,0,"10,676",322,336,717,676,582,282,724,494,"1,031",572,572,385,347,419,507,623,288,929,237,633
2021,3,10,"12,529",297,224,935,854,759,278,639,586,935,965,984,350,442,615,710,477,429,"1,245",246,559
2021,3,20,"25,735","1,573",925,"1,108","1,229","1,434","1,162","2,127","1,589","1,308","1,100","1,565",638,685,"1,708","1,137","1,423",837,"1,909","1,062","1,216"
2021,3,30,"24,374","1,306",920,"1,190","1,245","1,209","1,074","2,209","1,481","1,503",864,"1,215",824,673,"1,198",932,"1,384",628,"1,680","1,169","1,670"
2021,3,40,"25,983","1,009",789,"1,608","1,583","1,448",883,"1,580","1,433","1,915","1,381","1,646",759,878,"1,436","1,193","1,257",783,"2,101",801,"1,500"
2021,3,50,"28,005","1,350",745,"1,521","1,741","1,689",826,"1,362","1,472","1,819","1,645","2,067",704,"1,071","1,630","1,349","1,233",935,"2,453",850,"1,543"
2021,3,60,"26,458","1,211",650,"1,570","1,844","1,448",742,"1,178","1,504","1,582","1,310","1,940",734,926,"1,563","1,371",984,902,"2,465",793,"1,741"
2021,3,70,"13,934",578,248,910,"1,195",711,428,636,941,862,678,913,408,457,865,810,554,498,"1,002",378,862
2021,3,80,"4,705",190,74,317,407,272,167,248,346,237,191,312,156,143,264,262,184,173,335,151,276
