년도,월,나이,유성구,진잠동,온천1동,온천2동,노은1동,노은2동,노은3동,신성동,전민동,구즉동,관평동,원신흥동,학하동,상대동
2021,7,30,"28,804","2,251","3,951","3,462","1,583","1,540","2,862","2,903","2,448","2,183","2,056","3,565",,
2021,7,40,"29,502","3,000","2,363","2,822","2,027","2,183","3,609","2,158","2,048","2,375","2,773","4,144",,
2021,7,50,"26,975","3,088","2,714","2,799","1,701","2,061","2,589","1,808","2,168","2,461","2,474","3,112",,
2021,7,60,"17,656","2,289","2,202","2,303",905,"1,100","1,728","1,074","1,364","1,337","1,131","2,223",,
2021,7,70,"6,384",915,812,839,417,479,678,328,357,471,328,760,,
2021,7,80,"2,206",314,289,273,154,213,206,125,131,199,78,224,,
2021,7,90,245,28,38,37,13,18,19,12,32,21,12,15,,
2021,7,100,4,1,1,0,1,0,0,0,0,0,0,1,,
2021,8,총,"176,672","17,630","18,179","20,782","10,959","12,161","18,468","13,698","13,918","14,152","14,784","21,941",,
2021,8,0,"17,271","1,612",795,"1,718","1,139","1,212","2,445","1,517","1,346","1,211","1,578","2,698",,
2021,8,10,"19,463","1,757",758,"1,626","1,533","1,750","2,335","1,481","1,606","1,567","2,354","2,696",,
2021,8,20,"28,066","2,367","4,221","4,889","1,485","1,600","1,999","2,288","2,400","2,341","1,976","2,500",,
2021,8,30,"28,745","2,231","3,980","3,442","1,575","1,532","2,838","2,903","2,465","2,171","2,067","3,541",,
2021,8,40,"29,460","2,989","2,356","2,826","2,022","2,189","3,619","2,146","2,033","2,362","2,774","4,144",,
2021,8,50,"27,035","3,110","2,713","2,816","1,695","2,043","2,594","1,812","2,179","2,464","2,483","3,126",,
2021,8,60,"17,730","2,298","2,210","2,305",921,"1,114","1,727","1,086","1,365","1,334","1,132","2,238",,
2021,8,70,"6,414",921,814,846,419,484,684,329,359,478,326,754,,
2021,8,80,"2,239",316,294,278,156,219,209,124,131,203,82,227,,
2021,8,90,245,28,37,36,13,18,18,12,34,21,12,16,,
2021,8,100,4,1,1,0,1,0,0,0,0,0,0,1,,
2021,9,총,"176,991","17,607","18,305","21,007","10,947","12,128","18,484","13,717","13,920","14,154","14,792","21,930",,
2021,9,0,"17,185","1,596",805,"1,717","1,125","1,204","2,438","1,513","1,342","1,202","1,563","2,680",,
2021,9,10,"19,462","1,754",753,"1,638","1,536","1,742","2,337","1,483","1,599","1,562","2,358","2,700",,
2021,9,20,"28,282","2,342","4,272","5,067","1,491","1,594","1,993","2,297","2,394","2,349","1,989","2,494",,
2021,9,30,"28,720","2,222","4,018","3,451","1,568","1,522","2,829","2,908","2,473","2,163","2,051","3,515",,
2021,9,40,"29,479","2,995","2,369","2,831","2,023","2,181","3,614","2,137","2,017","2,362","2,789","4,161",,
2021,9,50,"27,081","3,104","2,708","2,823","1,685","2,042","2,621","1,820","2,188","2,477","2,491","3,122",,
2021,9,60,"17,851","2,321","2,229","2,318",934,"1,116","1,735","1,090","1,380","1,331","1,136","2,261",,
2021,9,70,"6,426",921,819,848,411,491,689,332,361,482,323,749,,
2021,9,80,"2,257",324,294,278,160,218,209,125,131,207,81,230,,
2021,9,90,244,27,37,36,13,18,19,12,35,19,11,17,,
2021,9,100,4,1,1,0,1,0,0,0,0,0,0,1,,
2021,10,총,"176,936","17,624","18,286","21,016","10,961","12,086","18,471","13,754","13,927","14,103","14,767","21,941",,
2021,10,0,"17,091","1,591",794,"1,710","1,122","1,180","2,426","1,518","1,337","1,192","1,546","2,675",,
2021,10,10,"19,511","1,764",756,"1,634","1,545","1,748","2,354","1,493","1,605","1,554","2,353","2,705",,
2021,10,20,"28,176","2,338","4,253","5,064","1,472","1,590","1,983","2,260","2,384","2,341","2,002","2,489",,
2021,10,30,"28,730","2,226","4,020","3,472","1,579","1,503","2,799","2,954","2,491","2,146","2,031","3,509",,
2021,10,40,"29,402","2,984","2,377","2,820","2,023","2,170","3,616","2,129","2,005","2,345","2,775","4,158",,
2021,10,50,"27,133","3,111","2,699","2,822","1,703","2,038","2,630","1,832","2,190","2,480","2,496","3,132",,
2021,10,60,"17,916","2,340","2,229","2,324",926,"1,124","1,745","1,089","1,388","1,337","1,146","2,268",,
2021,10,70,"6,457",918,826,853,412,497,684,340,362,484,326,755,,
2021,10,80,"2,269",325,292,282,165,217,213,127,131,205,81,231,,
2021,10,90,247,26,39,35,13,19,21,12,34,19,11,18,,
2021,10,100,4,1,1,0,1,0,0,0,0,0,0,1,,
2021,11,총,"177,352","12,926","13,884","20,956","10,892","12,048","18,419","13,705","13,921","14,091","14,767","13,335","8,840","9,568"
2021,11,0,"17,093",993,459,"1,710","1,111","1,164","2,418","1,499","1,332","1,193","1,537","1,627",918,"1,132"
2021,11,10,"19,558","1,331",524,"1,620","1,549","1,737","2,346","1,496","1,600","1,544","2,355","1,371",650,"1,435"
