년도,월,나이,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021,7,70,"5,554",646,306,549,556,512,670,481,309,450,148,408,519
2021,7,80,"1,952",180,86,208,210,222,224,173,124,173,43,133,176
2021,7,90,143,15,7,18,15,17,12,7,11,14,2,12,13
2021,7,100,2,1,0,0,1,0,0,0,0,0,0,0,0
2021,8,총,"88,993","7,761","3,737","6,330","8,164","13,601","10,185","5,624","8,421","7,405","3,575","6,278","7,912"
2021,8,0,"5,391",316,150,318,455,973,457,215,"1,027",390,215,419,456
2021,8,10,"8,403",551,259,509,860,"1,897",850,474,779,624,300,513,787
2021,8,20,"13,419","1,268",463,786,"1,198","2,192","1,657",810,"1,055","1,256",569,925,"1,240"
2021,8,30,"10,800",892,423,674,884,"1,327","1,270",624,"1,451",988,629,847,791
2021,8,40,"13,554","1,089",605,905,"1,228","2,191","1,612",799,"1,435","1,141",661,849,"1,039"
2021,8,50,"16,877","1,426",730,"1,223","1,554","2,815","1,931","1,104","1,285","1,457",614,"1,208","1,530"
2021,8,60,"12,860","1,369",704,"1,138","1,195","1,457","1,503",933,943,911,393,961,"1,353"
2021,8,70,"5,577",650,308,550,563,506,667,486,310,448,149,415,525
2021,8,80,"1,962",184,88,208,211,225,226,171,125,175,43,129,177
2021,8,90,148,15,7,19,15,18,12,8,11,15,2,12,14
2021,8,100,2,1,0,0,1,0,0,0,0,0,0,0,0
2021,9,총,"88,904","7,773","3,714","6,298","8,158","13,574","10,208","5,632","8,418","7,402","3,567","6,276","7,884"
2021,9,0,"5,359",311,149,309,453,961,455,211,"1,028",392,217,419,454
2021,9,10,"8,362",552,258,506,854,"1,883",855,478,774,615,293,510,784
2021,9,20,"13,391","1,279",464,781,"1,198","2,188","1,664",802,"1,043","1,258",567,923,"1,224"
2021,9,30,"10,770",899,418,668,878,"1,328","1,261",626,"1,436",987,629,844,796
2021,9,40,"13,525","1,089",595,898,"1,215","2,171","1,626",806,"1,446","1,139",661,850,"1,029"
2021,9,50,"16,877","1,415",723,"1,222","1,568","2,828","1,925","1,105","1,288","1,452",615,"1,211","1,525"
2021,9,60,"12,894","1,369",704,"1,137","1,202","1,463","1,513",933,953,920,391,957,"1,352"
2021,9,70,"5,593",655,307,550,564,505,671,490,312,446,148,417,528
2021,9,80,"1,979",187,88,207,211,230,227,171,126,177,44,133,178
2021,9,90,152,16,8,20,14,17,11,10,12,16,2,12,14
2021,9,100,2,1,0,0,1,0,0,0,0,0,0,0,0
2021,10,총,"88,856","7,788","3,723","6,287","8,139","13,553","10,199","5,651","8,424","7,397","3,575","6,255","7,865"
2021,10,0,"5,314",310,145,305,446,951,456,215,"1,019",386,215,412,454
2021,10,10,"8,329",548,262,502,853,"1,875",843,478,774,607,294,518,775
2021,10,20,"13,375","1,303",469,782,"1,180","2,167","1,667",808,"1,047","1,255",564,916,"1,217"
2021,10,30,"10,783",900,419,669,882,"1,334","1,265",630,"1,433",994,632,836,789
2021,10,40,"13,457","1,078",592,887,"1,210","2,153","1,610",808,"1,452","1,135",660,850,"1,022"
2021,10,50,"16,866","1,414",722,"1,216","1,555","2,842","1,934","1,097","1,285","1,448",628,"1,203","1,522"
2021,10,60,"12,945","1,371",703,"1,143","1,217","1,476","1,510",937,956,930,388,959,"1,355"
2021,10,70,"5,630",657,311,553,570,508,675,496,318,445,148,414,535
2021,10,80,"2,000",190,92,210,210,231,228,172,128,180,44,135,180
2021,10,90,155,16,8,20,15,16,11,10,12,17,2,12,16
2021,10,100,2,1,0,0,1,0,0,0,0,0,0,0,0
2021,11,총,"88,659","7,768","3,696","6,270","8,107","13,488","10,204","5,693","8,413","7,409","3,579","6,219","7,813"
2021,11,0,"5,278",311,140,302,442,943,451,214,"1,019",381,213,407,455
2021,11,10,"8,271",542,263,504,841,"1,856",846,480,768,610,296,508,757
2021,11,20,"13,315","1,306",467,768,"1,173","2,163","1,670",817,"1,047","1,237",563,910,"1,194"
2021,11,30,"10,773",890,414,662,880,"1,328","1,258",643,"1,426","1,016",627,834,795
2021,11,40,"13,382","1,062",587,884,"1,202","2,126","1,608",814,"1,445","1,136",663,845,"1,010"
2021,11,50,"16,857","1,422",719,"1,219","1,552","2,837","1,944","1,108","1,282","1,450",632,"1,184","1,508"
2021,11,60,"12,975","1,371",691,"1,142","1,218","1,477","1,514",940,963,938,390,969,"1,362"
2021,11,70,"5,634",656,315,555,570,507,675,491,323,447,147,412,536
2021,11,80,"2,019",194,92,213,213,236,226,177,128,177,46,137,180
2021,11,90,153,13,8,21,15,15,12,9,12,17,2,13,16
