년도,월,나이,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020,11,90,"14,904","1,744",736,"1,008","1,405",925,"1,139",942,789,608,"1,027",648,845,260,624,245,191,427,486,234,378,472,539,387,533,56
2020,11,100,785,81,40,41,70,45,48,47,48,29,49,43,55,15,39,16,21,22,19,6,22,33,31,24,15,7
2020,12,총,"1,310,211","248,694","111,655","137,039","126,591","70,023","80,246","202,608","52,049","50,203","49,594","36,406","130,923","11,364","26,459","12,562","8,429","19,116","21,488","15,287","20,941","54,930","28,261","15,641","24,275","4,121"
2020,12,0,"91,832","19,073","8,420","10,653","7,900","5,021","5,061","20,054","2,947","2,811","2,512","1,957","10,035",311,909,476,341,844,747,690,945,"4,623","2,275",672,"1,439",189
2020,12,10,"107,254","22,266","10,083","12,183","9,944","5,651","6,549","21,510","4,259","3,099","3,608","2,559","10,922",438,"1,093",572,459,"1,028","1,099",950,994,"5,423","2,031",865,"1,705",230
2020,12,20,"123,333","24,106","10,727","13,379","11,729","6,407","7,596","25,258","3,957","4,156","3,413","2,690","16,315",595,"1,340",669,470,"1,018","1,156","1,063","1,434","5,198","1,786",831,"1,819",327
2020,12,30,"135,834","28,081","12,389","15,692","11,872","7,139","7,460","30,683","3,977","4,273","3,430","2,710","15,393",560,"1,439",701,475,"1,168","1,302","1,021","1,479","6,770","2,713",891,"1,956",341
2020,12,40,"183,302","38,353","17,274","21,079","17,570","9,170","10,715","36,167","6,693","5,708","5,399","4,062","20,253",886,"1,947","1,017",709,"1,722","1,949","1,674","1,920","9,508","3,214","1,339","2,828",499
2020,12,50,"221,920","44,905","19,886","25,019","22,636","11,424","12,925","34,190","8,802","8,515","7,900","5,825","22,363","1,880","4,000","2,215","1,351","2,891","3,421","2,579","3,855","8,976","3,885","2,649","3,964",769
2020,12,60,"206,309","40,054","18,523","21,531","20,888","11,203","13,247","19,236","9,573","9,372","9,330","6,911","17,856","2,525","5,870","2,775","1,735","3,873","4,813","2,982","4,433","6,628","4,737","3,295","4,142",831
2020,12,70,"133,935","19,705","9,010","10,695","13,651","7,589","9,196","9,002","6,530","6,941","7,187","5,264","10,796","2,164","5,061","2,275","1,521","3,529","3,579","2,288","3,123","4,331","3,796","2,613","3,228",566
2020,12,80,"90,756","10,319","4,559","5,760","8,918","5,451","6,303","5,516","4,464","4,697","5,734","3,733","6,086","1,726","4,140","1,596","1,156","2,592","2,924","1,795","2,357","2,963","3,257","2,079","2,644",306
2020,12,90,"14,955","1,750",744,"1,006","1,413",926,"1,146",947,798,602,"1,032",652,850,265,621,251,191,428,478,239,379,477,536,382,536,56
2020,12,100,781,82,40,42,70,42,48,45,49,29,49,43,54,14,39,15,21,23,20,6,22,33,31,25,14,7
2021,1,총,"1,309,255","248,512","111,560","136,952","126,622","70,007","80,112","202,382","52,002","50,100","49,570","36,149","131,164","11,363","26,390","12,553","8,401","19,082","21,463","15,266","20,906","54,958","28,298","15,590","24,263","4,102"
2021,1,0,"91,090","18,915","8,349","10,566","7,856","4,988","5,021","19,878","2,920","2,777","2,513","1,939","9,956",313,900,474,342,826,737,675,943,"4,584","2,262",662,"1,421",188
2021,1,10,"107,144","22,239","10,062","12,177","9,956","5,621","6,532","21,502","4,240","3,095","3,578","2,519","10,931",434,"1,100",569,452,"1,032","1,117",949,992,"5,449","2,041",862,"1,713",221
2021,1,20,"122,864","24,064","10,758","13,306","11,676","6,406","7,558","25,150","3,963","4,103","3,383","2,646","16,337",588,"1,312",656,480,"1,006","1,146","1,052","1,412","5,180","1,787",815,"1,814",330
