년도,월,나이,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021,3,총,"194,894","13,550","19,840","11,145","11,486","7,433","6,489","11,744","13,035","13,565","9,498","10,909","9,962","8,122","10,139","21,810","16,167"
2021,3,0,"11,939","1,433","1,061",669,"1,157",313,498,825,865,410,491,509,551,307,480,"1,215","1,155"
2021,3,10,"13,979",867,"1,150",763,"1,044",419,593,876,869,643,482,664,789,371,737,"1,658","2,054"
2021,3,20,"33,792","1,774","3,558","1,529","1,193","1,861",972,"1,678","2,611","3,579","1,912","1,844","1,552","1,751","1,664","3,947","2,367"
2021,3,30,"33,620","2,716","3,373","1,881","1,996","1,199","1,016","1,892","2,187","2,863","1,914","2,020","1,548","1,563","1,713","3,637","2,102"
2021,3,40,"31,031","2,137","2,734","1,626","2,283","1,030","1,117","2,064","2,070","1,875","1,351","1,653","1,646","1,165","1,726","3,389","3,165"
2021,3,50,"27,569","1,996","3,219","1,818","1,482",975,890,"1,777","1,893","1,600","1,230","1,521","1,439","1,052","1,511","2,984","2,182"
2021,3,60,"21,248","1,441","2,325","1,398","1,148",785,639,"1,278","1,291","1,227","1,052","1,325","1,219",939,"1,197","2,350","1,634"
2021,3,70,"13,730",699,"1,485",831,733,511,489,883,790,850,669,906,831,617,760,"1,726",950
2021,3,80,"6,795",401,817,528,380,279,230,403,396,426,334,414,342,305,310,760,470
2021,3,90,"1,120",77,107,101,67,54,35,65,61,89,61,50,41,49,40,143,80
2021,3,100,71,9,11,1,3,7,10,3,2,3,2,3,4,3,1,1,8
2021,4,총,"195,527","13,476","19,785","11,138","11,504","7,426","7,423","11,715","13,054","13,563","9,472","10,893","9,942","8,091","10,134","21,784","16,127"
2021,4,0,"11,943","1,419","1,056",664,"1,153",310,613,828,853,406,491,496,546,304,473,"1,201","1,130"
2021,4,10,"14,005",863,"1,140",769,"1,046",410,676,874,876,630,475,663,784,371,727,"1,651","2,050"
2021,4,20,"33,905","1,754","3,545","1,510","1,198","1,892","1,089","1,662","2,635","3,605","1,902","1,838","1,536","1,744","1,667","3,950","2,378"
2021,4,30,"33,753","2,698","3,364","1,888","1,989","1,186","1,190","1,881","2,186","2,862","1,909","2,021","1,561","1,567","1,722","3,635","2,094"
2021,4,40,"31,111","2,137","2,716","1,625","2,295","1,026","1,295","2,055","2,061","1,880","1,347","1,647","1,637","1,159","1,726","3,364","3,141"
2021,4,50,"27,658","1,970","3,222","1,808","1,479",972,"1,034","1,777","1,900","1,585","1,237","1,522","1,437","1,045","1,503","2,989","2,178"
2021,4,60,"21,392","1,447","2,335","1,412","1,156",782,716,"1,283","1,288","1,236","1,047","1,329","1,219",933,"1,203","2,363","1,643"
2021,4,70,"13,728",699,"1,471",830,738,510,513,880,792,844,666,902,832,612,763,"1,725",951
2021,4,80,"6,829",404,818,529,380,278,250,407,398,422,336,416,344,302,310,761,474
2021,4,90,"1,132",76,107,102,67,53,37,65,63,90,60,56,42,51,39,144,80
2021,4,100,71,9,11,1,3,7,10,3,2,3,2,3,4,3,1,1,8
2021,5,총,"195,776","13,431","19,742","11,129","11,484","7,424","7,956","11,683","13,049","13,549","9,458","10,896","9,927","8,067","10,134","21,723","16,124"
2021,5,0,"11,956","1,418","1,064",668,"1,133",306,679,829,851,397,491,494,547,299,468,"1,194","1,118"
2021,5,10,"13,947",859,"1,133",765,"1,047",398,702,874,860,623,473,660,778,367,731,"1,628","2,049"
2021,5,20,"33,951","1,750","3,513","1,508","1,200","1,905","1,181","1,653","2,652","3,596","1,890","1,834","1,531","1,749","1,672","3,946","2,371"
2021,5,30,"33,799","2,693","3,363","1,875","1,989","1,193","1,281","1,869","2,188","2,864","1,904","2,025","1,560","1,565","1,716","3,620","2,094"
2021,5,40,"31,086","2,125","2,716","1,606","2,285","1,023","1,390","2,044","2,058","1,876","1,350","1,652","1,627","1,143","1,720","3,346","3,125"
2021,5,50,"27,700","1,958","3,193","1,814","1,487",972,"1,129","1,785","1,881","1,580","1,250","1,509","1,443","1,036","1,500","2,976","2,187"
