년도,월,나이,영주시,풍기읍,이산면,평은면,문수면,장수면,안정면,봉현면,순흥면,단산면,부석면,상망동,하망동,영주1동,영주2동,휴천1동,휴천2동,휴천3동,가흥1동,가흥2동
2020,10,총,"51,227","5,244","1,218",735,"1,003","1,118","1,551","1,410","1,020",955,"1,556","3,981","2,955","1,987","1,705","3,338","4,056","4,042","9,502","3,851"
2020,10,0,"3,173",248,29,16,29,32,43,36,24,14,30,257,174,98,96,251,206,233,"1,077",280
2020,10,10,"4,675",357,50,27,44,57,73,67,44,39,69,527,299,132,140,459,342,398,"1,120",431
2020,10,20,"5,657",585,122,57,95,94,129,101,96,71,74,469,348,185,161,432,528,584,"1,085",441
2020,10,30,"4,591",391,69,29,66,77,106,69,54,53,86,313,255,162,131,277,381,347,"1,310",415
2020,10,40,"7,249",667,106,68,113,114,171,178,80,98,133,629,429,267,205,550,546,518,"1,759",618
2020,10,50,"9,226",939,276,147,178,192,266,273,198,183,322,737,567,383,328,631,755,804,"1,383",664
2020,10,60,"8,722","1,117",280,171,244,270,367,357,277,251,411,541,457,385,318,372,667,646,"1,016",575
2020,10,70,"5,330",635,173,138,146,175,254,227,155,148,281,350,283,251,232,262,437,361,521,301
2020,10,80,"2,378",273,102,71,80,96,133,88,84,87,140,149,132,112,88,93,181,137,214,118
2020,10,90,213,28,11,11,8,11,9,12,7,10,9,9,10,11,6,11,12,14,16,8
2020,10,100,13,4,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020,11,총,"51,170","5,242","1,217",736,999,"1,118","1,545","1,401","1,018",955,"1,555","3,982","2,944","1,992","1,706","3,342","4,049","4,009","9,520","3,840"
2020,11,0,"3,165",245,29,15,29,32,43,36,24,14,32,258,177,99,98,250,205,226,"1,073",280
2020,11,10,"4,644",353,49,27,45,57,69,68,45,36,69,517,296,134,140,459,341,392,"1,121",426
2020,11,20,"5,674",588,122,56,90,96,130,100,94,73,73,479,343,186,158,429,533,575,"1,109",440
2020,11,30,"4,552",388,69,29,65,77,107,68,54,54,86,313,250,163,129,272,378,341,"1,300",409
2020,11,40,"7,246",669,106,67,112,112,167,173,79,98,135,635,428,263,209,556,545,511,"1,758",623
2020,11,50,"9,174",936,270,146,180,193,268,272,196,182,316,727,561,380,326,628,744,802,"1,389",658
2020,11,60,"8,767","1,118",284,174,244,268,367,355,279,252,415,546,461,388,317,382,672,650,"1,018",577
2020,11,70,"5,336",638,174,138,144,174,253,229,156,149,282,351,284,253,234,258,436,362,520,301
2020,11,80,"2,387",274,102,73,82,98,132,86,83,87,137,149,133,113,89,97,182,136,215,119
2020,11,90,213,29,12,11,8,11,9,12,7,9,9,7,10,13,6,11,12,14,16,7
2020,11,100,12,4,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,0,1,0
2020,12,총,"51,070","5,237","1,218",736,"1,001","1,118","1,539","1,390","1,016",955,"1,546","3,865","3,035","1,979","1,707","3,323","4,061","3,995","9,519","3,830"
2020,12,0,"3,153",244,29,15,30,32,42,34,21,14,30,252,181,96,96,250,206,225,"1,075",281
2020,12,10,"4,624",357,49,26,45,53,69,65,43,36,64,496,310,137,142,454,350,394,"1,111",423
2020,12,20,"5,672",581,118,59,90,100,128,100,94,74,76,460,362,186,161,431,532,567,"1,112",441
2020,12,30,"4,511",386,68,27,63,77,104,67,54,53,82,303,256,160,129,266,383,341,"1,291",401
2020,12,40,"7,208",670,105,64,111,112,165,168,78,97,136,622,438,258,206,553,538,505,"1,756",626
2020,12,50,"9,139",928,273,148,179,194,266,268,192,184,311,694,589,377,323,618,744,802,"1,393",656
2020,12,60,"8,804","1,125",288,176,248,271,370,356,282,253,417,542,470,385,318,385,675,650,"1,020",573
2020,12,70,"5,338",635,172,138,143,174,254,231,161,149,282,342,285,249,234,256,438,364,530,301
2020,12,80,"2,392",280,104,71,83,94,132,87,83,85,135,148,133,118,90,99,182,132,215,121
2020,12,90,218,28,12,12,9,11,9,12,7,9,12,6,10,13,8,11,12,15,15,7
2020,12,100,11,3,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,0,1,0
2021,1,총,"51,041","5,247","1,219",737,"1,000","1,119","1,536","1,392","1,014",952,"1,540","3,873","3,021","1,963","1,706","3,306","4,054","3,996","9,528","3,838"
2021,1,0,"3,127",242,27,16,27,32,44,31,19,14,28,250,182,94,100,247,201,221,"1,074",278
2021,1,10,"4,615",354,50,26,48,52,69,66,42,36,62,494,308,135,141,450,351,391,"1,113",427
2021,1,20,"5,659",583,119,60,89,101,126,100,91,74,76,463,357,185,163,426,527,561,"1,110",448
