년도,월,나이,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2021,11,70,"6,434",966,"1,971",199,253,219,214,295,161,711,500,207,536,202
2021,11,80,"4,920",679,"1,295",205,222,215,209,277,136,539,431,151,372,189
2021,11,90,780,93,210,40,35,32,28,44,20,78,79,17,68,36
2021,11,100,25,3,9,1,1,1,1,0,1,2,3,0,2,1
2021,12,총,"39,375","8,866","11,474","1,089","1,417","1,143","1,177","1,641",893,"3,633","2,731","1,226","3,016","1,069"
2021,12,0,"1,517",591,450,21,36,25,34,59,14,101,46,43,74,23
2021,12,10,"2,481",825,794,39,57,48,63,68,52,162,126,65,152,30
2021,12,20,"2,741",884,781,61,83,56,57,103,46,203,121,90,187,69
2021,12,30,"2,303",777,668,47,75,45,57,61,25,169,126,74,131,48
2021,12,40,"3,894","1,148","1,177",78,114,96,99,110,85,314,224,126,250,73
2021,12,50,"6,510","1,507","1,845",170,232,184,188,271,156,568,447,201,569,172
2021,12,60,"7,771","1,392","2,277",228,311,223,226,358,195,785,627,250,677,222
2021,12,70,"6,434",974,"1,970",198,253,214,214,294,161,708,500,210,531,207
2021,12,80,"4,917",673,"1,290",207,223,218,208,273,138,543,431,148,377,188
2021,12,90,787,93,213,39,32,33,30,44,20,79,82,19,67,36
2021,12,100,20,2,9,1,1,1,1,0,1,1,1,0,1,1
