년도,월,나이,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021,9,총,"78,399","24,725","1,122","1,520","2,575","1,407","1,379",892,820,"30,306","6,251","6,439",963
2021,9,0,"6,497","2,126",50,37,141,27,33,20,12,"3,175",441,408,27
2021,9,10,"8,152","2,663",78,67,141,76,44,45,28,"3,728",561,659,62
2021,9,20,"11,287","3,270",116,150,354,116,112,79,69,"4,636",875,"1,386",124
2021,9,30,"9,658","2,939",78,77,288,88,88,45,63,"4,467",693,743,89
2021,9,40,"11,935","4,072",113,136,262,120,154,100,100,"5,218",961,580,119
2021,9,50,"15,948","4,511",251,355,623,321,298,183,186,"6,039","1,490","1,475",216
2021,9,60,"9,481","3,202",226,360,417,298,287,227,160,"2,281",894,937,192
2021,9,70,"3,786","1,376",120,210,223,222,242,112,127,575,269,217,93
2021,9,80,"1,516",513,77,113,120,128,113,77,68,177,63,29,38
2021,9,90,137,53,12,14,6,11,8,4,7,10,4,5,3
2021,9,100,2,0,1,1,0,0,0,0,0,0,0,0,0
2021,10,총,"78,423","24,789","1,118","1,509","2,569","1,396","1,370",890,907,"30,243","6,242","6,430",960
2021,10,0,"6,457","2,113",50,37,133,25,33,19,26,"3,137",444,413,27
2021,10,10,"8,121","2,659",77,65,136,76,43,44,32,"3,719",558,653,59
2021,10,20,"11,276","3,283",112,144,356,114,114,80,87,"4,622",867,"1,371",126
2021,10,30,"9,673","2,953",80,77,285,85,85,44,96,"4,454",684,743,87
2021,10,40,"11,938","4,072",109,130,263,119,154,98,112,"5,208",964,591,118
2021,10,50,"15,962","4,527",251,354,625,321,292,183,186,"6,056","1,483","1,468",216
