년도,월,나이,문경시,문경읍,문경읍갈평출장소,가은읍,가은읍북부출장소,영순면,산양면,호계면,산북면,동로면,마성면,농암면,점촌1동,점촌2동,점촌3동,점촌4동,점촌5동
2021,5,총,"71,591","5,863","1,117","3,223",858,"2,488","3,095","2,414","2,781","1,974","3,603","2,656","5,855","7,130","9,042","3,160","16,332"
2021,5,0,"3,954",204,37,106,12,55,93,40,57,85,99,77,368,440,634,127,"1,520"
2021,5,10,"5,587",367,62,143,39,287,128,166,103,78,123,87,412,580,862,157,"1,993"
2021,5,20,"6,295",384,68,169,36,146,196,337,157,95,219,129,531,629,844,204,"2,151"
2021,5,30,"5,594",359,48,154,46,91,164,102,113,98,209,131,568,640,786,251,"1,834"
2021,5,40,"8,649",603,93,258,79,184,259,177,217,170,288,183,704,861,"1,322",311,"2,940"
2021,5,50,"11,943","1,025",228,531,187,334,474,381,478,358,625,499,981,"1,121","1,531",521,"2,669"
2021,5,60,"13,799","1,309",274,739,211,588,736,537,660,519,776,684,"1,164","1,422","1,582",701,"1,897"
2021,5,70,"9,164",961,172,580,144,391,534,355,509,316,692,467,732,943,933,524,911
2021,5,80,"5,703",564,115,462,88,351,428,275,422,224,498,327,359,433,481,321,355
2021,5,90,842,76,20,77,15,61,80,44,60,31,66,65,32,52,62,40,61
2021,5,100,61,11,0,4,1,0,3,0,5,0,8,7,4,9,5,3,1
2021,6,총,"71,409","5,854","1,110","3,223",862,"2,473","3,091","2,396","2,783","1,973","3,594","2,655","5,828","7,120","9,008","3,133","16,306"
2021,6,0,"3,918",205,37,107,12,55,92,40,57,85,97,78,360,437,622,121,"1,513"
2021,6,10,"5,558",376,62,147,38,285,126,160,105,78,118,87,404,578,854,153,"1,987"
2021,6,20,"6,264",364,65,166,37,144,195,334,155,93,225,127,528,633,851,202,"2,145"
2021,6,30,"5,567",358,48,157,46,87,162,102,117,100,209,133,558,643,781,245,"1,821"
2021,6,40,"8,621",601,92,258,77,185,259,172,216,171,287,182,705,859,"1,313",309,"2,935"
2021,6,50,"11,873","1,011",224,524,186,329,475,378,476,349,621,504,977,"1,116","1,526",517,"2,660"
2021,6,60,"13,880","1,320",277,745,218,587,744,540,666,526,783,682,"1,167","1,422","1,581",703,"1,919"
2021,6,70,"9,136",957,170,575,144,388,536,352,509,317,690,460,733,946,935,519,905
2021,6,80,"5,727",575,117,465,89,352,422,278,418,219,496,333,363,433,479,327,361
2021,6,90,827,76,18,77,14,61,79,40,59,35,63,64,32,51,63,36,59
2021,6,100,38,11,0,2,1,0,1,0,5,0,5,5,1,2,3,1,1
2021,7,총,"71,242","5,848","1,110","3,215",854,"2,452","3,095","2,388","2,781","1,965","3,582","2,651","5,804","7,118","8,966","3,140","16,273"
2021,7,0,"3,897",206,35,106,11,56,93,40,60,83,96,78,354,442,614,121,"1,502"
2021,7,10,"5,503",366,60,148,39,271,126,151,104,80,119,86,401,575,844,150,"1,983"
2021,7,20,"6,219",369,69,163,34,143,191,330,151,89,223,126,524,625,848,202,"2,132"
2021,7,30,"5,528",359,49,154,45,87,161,101,118,99,203,130,545,647,763,250,"1,817"
2021,7,40,"8,603",595,91,256,75,181,259,169,214,173,285,184,704,864,"1,317",317,"2,919"
2021,7,50,"11,816","1,000",223,520,183,327,477,377,471,343,621,499,971,"1,102","1,516",516,"2,670"
2021,7,60,"13,933","1,332",278,753,222,588,744,546,671,529,786,685,"1,174","1,423","1,588",702,"1,912"
2021,7,70,"9,128",957,169,569,140,384,541,352,510,315,682,461,734,950,935,517,912
2021,7,80,"5,734",572,118,467,91,354,421,281,417,219,497,329,363,436,475,329,365
2021,7,90,842,81,18,77,13,61,81,41,60,35,65,68,33,52,63,35,59
2021,7,100,39,11,0,2,1,0,1,0,5,0,5,5,1,2,3,1,2
2021,8,총,"71,045","5,817","1,105","3,197",849,"2,452","3,082","2,393","2,763","1,962","3,580","2,659","5,785","7,074","8,946","3,132","16,249"
2021,8,0,"3,871",202,34,105,12,57,92,39,58,82,94,76,353,435,609,121,"1,502"
2021,8,10,"5,484",362,60,148,40,271,127,150,102,80,120,92,392,572,842,151,"1,975"
2021,8,20,"6,173",367,68,162,32,142,185,336,148,89,219,127,522,604,848,201,"2,123"
2021,8,30,"5,492",354,47,152,44,88,160,101,117,94,205,127,543,638,758,246,"1,818"
2021,8,40,"8,541",592,93,253,72,177,255,165,210,173,280,185,701,862,"1,311",315,"2,897"
2021,8,50,"11,786",991,222,514,186,327,475,379,463,340,621,506,975,"1,097","1,509",513,"2,668"
2021,8,60,"13,935","1,335",275,752,218,589,751,547,671,532,788,681,"1,167","1,417","1,588",706,"1,918"
2021,8,70,"9,140",953,170,568,139,383,536,352,509,316,686,458,735,956,941,515,923
2021,8,80,"5,730",566,118,465,92,356,417,283,418,221,498,334,363,438,472,328,361
2021,8,90,855,84,18,76,13,62,83,41,62,35,65,68,33,53,65,35,62
2021,8,100,38,11,0,2,1,0,1,0,5,0,4,5,1,2,3,1,2
2021,9,총,"71,096","5,808","1,111","3,199",858,"2,448","3,075","2,393","2,762","1,968","3,569","2,651","5,817","7,078","8,962","3,116","16,281"
2021,9,0,"3,869",204,34,107,12,58,94,39,56,82,91,72,351,434,617,121,"1,497"
