년도,월,나이,마포구,아현동,공덕동,도화동,용강동,대흥동,염리동,신수동,서강동,서교동,합정동,망원제1동,망원제2동,연남동,성산제1동,성산제2동,상암동
2021,3,0,"24,310","2,802","2,239","1,479","2,219",665,996,"1,675","1,811",823,"1,036","1,023","1,140",601,926,"2,431","2,444"
2021,3,10,"28,185","1,687","2,287","1,595","2,053",893,"1,186","1,889","1,748","1,219",931,"1,319","1,546",794,"1,455","3,453","4,130"
2021,3,20,"61,564","3,138","6,329","2,964","2,218","3,425","1,855","3,418","4,934","6,227","3,396","3,460","2,865","3,254","3,137","6,633","4,311"
2021,3,30,"63,777","5,050","6,509","3,634","3,691","2,400","1,948","3,690","4,147","5,363","3,665","3,869","2,921","3,071","3,329","6,630","3,860"
2021,3,40,"60,346","4,304","5,423","3,143","4,375","2,066","2,284","3,866","3,962","3,688","2,614","3,217","3,221","2,319","3,308","6,491","6,065"
2021,3,50,"54,141","3,853","6,310","3,468","2,993","2,048","1,814","3,565","3,645","3,082","2,342","2,993","2,827","2,000","2,863","5,819","4,519"
2021,3,60,"39,735","2,768","4,493","2,665","2,192","1,501","1,202","2,462","2,487","2,263","1,945","2,421","2,172","1,715","2,192","4,269","2,988"
2021,3,70,"23,754","1,180","2,541","1,529","1,278",872,790,"1,503","1,374","1,501","1,188","1,577","1,460","1,072","1,328","2,863","1,698"
2021,3,80,"11,059",653,"1,254",837,622,464,399,668,671,733,532,645,576,497,537,"1,197",774
2021,3,90,"1,542",103,151,128,91,70,48,98,87,126,83,74,60,75,56,186,106
2021,3,100,105,11,13,1,3,11,13,5,2,9,3,3,6,6,3,6,10
2021,4,총,"369,577","25,410","37,418","21,395","21,745","14,361","14,374","22,777","24,890","25,045","17,690","20,534","18,764","15,356","19,126","39,892","30,800"
2021,4,0,"24,367","2,784","2,234","1,470","2,220",657,"1,247","1,675","1,790",816,"1,021","1,003","1,128",596,922,"2,406","2,398"
2021,4,10,"28,204","1,675","2,259","1,592","2,043",879,"1,353","1,874","1,757","1,200",926,"1,318","1,547",787,"1,436","3,436","4,122"
2021,4,20,"61,684","3,104","6,294","2,924","2,221","3,437","2,088","3,391","4,965","6,268","3,385","3,428","2,847","3,248","3,155","6,629","4,300"
2021,4,30,"63,991","5,015","6,490","3,634","3,691","2,385","2,273","3,682","4,141","5,363","3,667","3,862","2,923","3,070","3,322","6,615","3,858"
