년도,월,나이,완도군,완도읍,금일읍,노화읍,노화읍넙도출장소,군외면,신지면,고금면,약산면,청산면,청산면모도출장소,소안면,금당면,보길면,생일면
2021,11,0,"1,504",739,95,137,21,50,56,83,68,29,3,60,18,123,22
2021,11,10,"1,826",868,97,217,27,60,91,129,47,51,5,71,30,117,16
2021,11,20,"2,100","1,030",121,160,25,96,128,152,80,72,8,72,36,82,38
2021,11,30,"1,966",827,160,189,45,92,117,126,57,74,2,94,34,120,29
2021,11,40,"3,471","1,363",269,331,82,200,208,242,132,111,17,181,60,209,66
2021,11,50,"4,434","1,632",325,360,66,305,339,364,227,211,24,198,91,217,75
2021,11,60,"4,371","1,425",365,339,75,355,336,355,244,218,21,229,92,234,83
2021,11,70,"3,276",854,272,274,66,298,260,358,208,154,25,190,80,169,68
2021,11,80,"1,462",282,130,137,13,121,152,205,95,84,10,104,39,59,31
2021,11,90,125,31,8,6,0,7,14,16,9,12,0,10,5,5,2
2021,11,100,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021,12,총,"24,475","9,059","1,835","2,137",418,"1,572","1,687","2,030","1,158","1,008",118,"1,211",482,"1,328",432
2021,12,0,"1,497",738,96,137,21,47,55,85,66,29,3,59,18,121,22
2021,12,10,"1,815",868,96,215,27,58,89,127,46,51,5,71,28,118,16
2021,12,20,"2,096","1,030",120,159,24,96,129,150,80,72,8,73,38,79,38
2021,12,30,"1,947",824,156,187,44,89,111,130,58,72,3,93,33,118,29
2021,12,40,"3,451","1,365",268,330,83,198,207,235,131,110,18,180,57,203,66
2021,12,50,"4,432","1,639",323,354,64,300,337,368,225,207,23,201,93,222,76
2021,12,60,"4,365","1,417",366,339,77,358,336,355,241,219,23,228,91,233,82
2021,12,70,"3,276",865,272,274,66,296,257,357,208,151,25,188,78,170,69
2021,12,80,"1,470",282,131,136,12,123,151,207,94,84,10,107,41,60,32
2021,12,90,124,31,7,6,0,7,15,16,9,12,0,10,5,4,2
2021,12,100,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
