년도,월,나이,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021,3,60,"24,812","6,450","3,136","1,905","1,002","1,446",209,289,"1,597","1,538",,"1,056","2,572","2,353","1,259"
2021,3,70,"10,775","2,849","1,305",799,427,791,108,146,701,644,,415,"1,013",982,595
2021,3,80,"3,264",835,415,311,160,240,60,76,208,166,,117,281,238,157
2021,3,90,277,83,31,25,16,26,7,5,12,17,,5,23,18,9
2021,3,100,11,5,1,1,1,2,0,0,1,0,,0,0,0,0
2021,4,총,"196,185","57,127","24,299","12,360","5,209","7,829",778,"1,367","12,863","11,106",,"9,194","19,924","17,230","16,899"
2021,4,0,"17,654","5,747","1,941",701,239,536,20,72,"1,032",797,,"1,009","1,539","1,359","2,662"
2021,4,10,"17,465","4,552","2,571",977,340,666,33,102,"1,161",979,,791,"1,837","1,383","2,073"
2021,4,20,"24,011","7,040","2,967","1,582",589,666,59,91,"1,813","1,484",,"1,241","2,651","2,289","1,539"
2021,4,30,"29,526","10,209","3,245","1,549",587,759,52,113,"1,847","1,551",,"1,456","2,800","2,505","2,853"
2021,4,40,"35,506","10,831","4,363","1,930",804,"1,349",80,205,"2,134","1,940",,"1,622","3,499","3,082","3,667"
2021,4,50,"32,638","8,468","4,291","2,541","1,036","1,338",145,271,"2,350","1,978",,"1,475","3,667","2,989","2,089"
2021,4,60,"25,019","6,486","3,169","1,936","1,006","1,450",214,285,"1,609","1,547",,"1,067","2,609","2,387","1,254"
2021,4,70,"10,782","2,857","1,303",807,426,798,107,148,698,644,,410,"1,014",976,594
2021,4,80,"3,296",850,417,311,165,238,61,74,209,169,,118,284,242,158
2021,4,90,277,82,31,25,16,27,7,6,9,17,,5,24,18,10
2021,4,100,11,5,1,1,1,2,0,0,1,0,,0,0,0,0
2021,5,총,"196,393","57,183","24,285","12,383","5,235","7,876",781,"1,365","12,863","11,112",,"9,202","19,949","17,260","16,899"
2021,5,0,"17,574","5,717","1,929",705,240,539,19,71,"1,027",785,,"1,005","1,529","1,362","2,646"
2021,5,10,"17,446","4,566","2,564",978,334,661,33,102,"1,145",986,,787,"1,827","1,384","2,079"
2021,5,20,"24,011","7,048","2,970","1,567",602,669,58,94,"1,800","1,472",,"1,249","2,656","2,296","1,530"
2021,5,30,"29,444","10,141","3,241","1,554",588,768,53,113,"1,861","1,550",,"1,440","2,808","2,490","2,837"
2021,5,40,"35,540","10,844","4,337","1,923",806,"1,358",81,198,"2,137","1,954",,"1,631","3,505","3,078","3,688"
2021,5,50,"32,737","8,534","4,312","2,550","1,038","1,334",145,269,"2,344","1,971",,"1,478","3,674","3,003","2,085"
2021,5,60,"25,225","6,532","3,183","1,953","1,019","1,474",217,292,"1,629","1,562",,"1,076","2,621","2,401","1,266"
2021,5,70,"10,795","2,868","1,292",815,427,797,108,146,695,643,,409,"1,016",985,594
2021,5,80,"3,339",850,423,312,166,247,60,74,215,173,,122,289,244,164
2021,5,90,271,78,33,25,14,27,7,6,9,16,,5,24,17,10
2021,5,100,11,5,1,1,1,2,0,0,1,0,,0,0,0,0
2021,6,총,"196,588","57,256","24,307","12,395","5,234","7,928",784,"1,370","12,842","11,150",,"9,215","19,952","17,250","16,905"
2021,6,0,"17,479","5,683","1,911",706,237,537,21,72,"1,014",788,,"1,002","1,519","1,353","2,636"
2021,6,10,"17,460","4,591","2,552",972,333,671,32,102,"1,135",978,,785,"1,828","1,394","2,087"
2021,6,20,"24,008","7,036","2,977","1,585",602,670,58,94,"1,798","1,491",,"1,245","2,648","2,287","1,517"
2021,6,30,"29,322","10,104","3,234","1,544",581,771,56,114,"1,850","1,544",,"1,432","2,807","2,464","2,821"
2021,6,40,"35,606","10,882","4,338","1,929",811,"1,364",80,197,"2,131","1,951",,"1,645","3,498","3,074","3,706"
2021,6,50,"32,777","8,554","4,330","2,539","1,038","1,345",146,271,"2,334","1,984",,"1,481","3,663","2,999","2,093"
