년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021,1,10,"5,113",232,153,84,41,52,38,57,58,50,85,39,33,89,28,42,"1,077",148,"1,372",136,754,253,166,126
2021,1,20,"5,855",215,207,122,71,107,66,77,74,105,139,79,51,95,45,63,"1,235",184,"1,275",188,664,320,239,234
2021,1,30,"4,706",221,169,81,71,129,54,59,59,82,104,107,71,71,34,62,"1,013",115,908,130,508,329,155,174
2021,1,40,"7,748",364,250,144,117,179,104,105,118,145,217,148,96,145,50,117,"1,593",245,"1,601",200,809,514,245,242
2021,1,50,"9,888",490,470,330,216,252,153,201,197,274,332,258,160,242,133,234,"1,556",293,"1,701",262,832,489,426,387
2021,1,60,"8,442",492,425,308,204,314,198,182,219,270,331,321,174,235,163,235,967,220,"1,205",281,575,413,351,359
2021,1,70,"5,789",393,270,196,192,213,168,140,179,199,264,280,150,174,94,181,516,137,725,213,341,304,205,255
2021,1,80,"2,702",169,127,129,104,113,76,57,101,108,156,124,80,103,48,94,176,67,268,107,129,115,99,152
2021,1,90,254,22,8,8,8,8,7,9,13,10,25,11,15,5,4,9,15,3,23,12,8,11,11,9
2021,1,100,22,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,6,1,5,2,1,1,1,1
2021,2,총,"53,690","2,710","2,160","1,423","1,061","1,401",885,911,"1,051","1,298","1,695","1,392",851,"1,195",618,"1,056","8,872","1,479","9,890","1,607","5,130","3,002","1,985","2,018"
2021,2,0,"3,203",121,79,25,37,34,30,22,22,48,40,29,24,39,15,26,723,68,809,83,515,248,93,73
2021,2,10,"5,095",223,149,86,41,50,37,59,63,52,82,39,33,90,28,41,"1,073",146,"1,373",137,751,253,163,126
