년도,월,나이,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021,1,80,"3,235",195,153,145,273,150,192,119,155,280,461,118,143,158,286,218,189
2021,1,90,508,34,22,28,28,23,17,25,16,54,93,12,20,23,49,32,32
2021,1,100,110,6,6,16,10,5,4,2,5,14,9,2,7,3,11,3,7
2021,2,총,"110,646","8,544","4,776","4,657","9,278","7,748","6,667","4,849","5,855","10,054","13,145","4,086","3,313","4,261","10,150","6,289","6,974"
2021,2,0,"6,857",475,181,90,323,653,467,393,371,590,"1,433",288,110,220,614,404,245
2021,2,10,"7,871",694,269,149,626,457,499,392,427,529,"1,461",259,140,221,578,727,443
2021,2,20,"15,873","1,293",805,444,"1,666","1,046",874,736,886,"1,457","1,443",463,565,697,"1,404",884,"1,210"
2021,2,30,"19,007","1,445",893,564,"1,692","1,793","1,046",911,979,"2,021","1,607",733,633,822,"1,954",715,"1,199"
2021,2,40,"17,543","1,342",706,697,"1,381","1,342","1,138",751,916,"1,427","2,215",628,437,681,"1,683","1,162","1,037"
2021,2,50,"18,309","1,407",668,"1,148","1,542","1,105","1,155",754,978,"1,717","2,206",655,525,575,"1,569","1,103","1,202"
2021,2,60,"13,895","1,054",657,974,"1,121",797,820,491,707,"1,309","1,460",598,491,509,"1,297",720,890
2021,2,70,"7,407",596,416,394,618,374,459,271,411,653,752,327,244,349,702,321,520
2021,2,80,"3,267",199,153,153,273,154,187,123,159,284,466,121,141,160,287,218,189
2021,2,90,504,32,22,28,26,22,19,24,16,52,93,12,20,24,51,32,31
2021,2,100,113,7,6,16,10,5,3,3,5,15,9,2,7,3,11,3,8
2021,3,총,"110,181","8,418","4,758","4,604","9,223","7,725","6,652","4,849","5,824","10,334","13,006","4,019","3,281","4,247","10,011","6,281","6,949"
2021,3,0,"6,846",484,180,89,327,644,456,395,374,612,"1,423",276,113,217,614,400,242
2021,3,10,"7,797",680,267,153,612,460,496,388,422,531,"1,445",257,134,220,576,719,437
2021,3,20,"16,004","1,293",824,443,"1,659","1,058",882,741,885,"1,558","1,432",461,570,698,"1,384",897,"1,219"
2021,3,30,"19,097","1,434",889,568,"1,692","1,767","1,058",901,979,"2,189","1,600",725,623,830,"1,930",721,"1,191"
2021,3,40,"17,367","1,317",700,687,"1,362","1,340","1,131",747,904,"1,428","2,179",607,431,683,"1,668","1,150","1,033"
2021,3,50,"18,210","1,374",669,"1,145","1,534","1,111","1,144",764,973,"1,728","2,189",638,518,578,"1,545","1,099","1,201"
2021,3,60,"13,876","1,049",657,952,"1,119",797,828,494,699,"1,313","1,470",607,494,499,"1,281",724,893
2021,3,70,"7,303",562,411,388,618,372,457,272,414,647,736,319,237,347,686,317,520
2021,3,80,"3,223",197,143,150,277,154,184,125,157,289,450,118,141,153,279,219,187
2021,3,90,424,25,16,20,22,19,15,21,15,38,80,11,19,22,42,34,25
2021,3,100,34,3,2,9,1,3,1,1,2,1,2,0,1,0,6,1,1
2021,4,총,"110,038","8,409","4,746","4,603","9,219","7,687","6,633","4,841","5,813","10,383","12,992","3,997","3,286","4,246","9,990","6,286","6,907"
2021,4,0,"6,803",485,176,86,332,642,445,391,370,617,"1,416",274,112,217,609,396,235
2021,4,10,"7,754",673,261,150,605,459,496,387,409,535,"1,436",256,135,213,576,727,436
2021,4,20,"15,966","1,290",818,441,"1,670","1,046",884,739,888,"1,551","1,433",453,578,699,"1,382",887,"1,207"
2021,4,30,"19,109","1,430",883,580,"1,698","1,761","1,062",906,982,"2,220","1,583",724,620,832,"1,911",731,"1,186"
2021,4,40,"17,337","1,317",704,679,"1,350","1,343","1,115",739,896,"1,433","2,195",610,434,689,"1,665","1,145","1,023"
2021,4,50,"18,151","1,375",675,"1,130","1,530","1,095","1,138",769,971,"1,720","2,190",635,513,568,"1,546","1,102","1,194"
2021,4,60,"13,918","1,050",655,968,"1,118",798,834,491,704,"1,321","1,463",602,499,503,"1,287",729,896
2021,4,70,"7,303",563,412,388,613,371,457,274,416,652,738,316,237,346,687,315,518
2021,4,80,"3,231",196,144,152,279,150,183,124,161,294,455,116,137,158,279,218,185
2021,4,90,431,27,16,20,23,19,18,20,14,38,81,11,20,21,42,35,26
2021,4,100,35,3,2,9,1,3,1,1,2,2,2,0,1,0,6,1,1
2021,5,총,"109,494","8,321","4,666","4,606","9,126","7,654","6,611","4,820","5,755","10,429","12,977","3,995","3,170","4,243","9,982","6,287","6,852"
2021,5,0,"6,769",477,174,87,332,637,441,386,368,639,"1,406",270,108,211,608,391,234
2021,5,10,"7,697",652,258,152,600,463,494,383,401,523,"1,446",253,129,211,574,726,432
2021,5,20,"15,901","1,265",807,439,"1,647","1,058",878,730,874,"1,566","1,428",453,577,702,"1,389",881,"1,207"
2021,5,30,"19,030","1,425",875,581,"1,706","1,755","1,056",905,984,"2,234","1,565",711,604,831,"1,884",736,"1,178"
2021,5,40,"17,238","1,319",689,676,"1,330","1,335","1,112",727,883,"1,430","2,189",622,415,687,"1,673","1,135","1,016"
2021,5,50,"18,079","1,357",669,"1,126","1,513","1,082","1,137",768,965,"1,708","2,198",636,496,572,"1,546","1,117","1,189"
2021,5,60,"13,892","1,043",632,975,"1,112",800,838,497,696,"1,337","1,469",604,475,500,"1,300",736,878
2021,5,70,"7,228",556,399,387,593,362,451,275,413,654,741,318,225,349,681,314,510
2021,5,80,"3,206",199,145,154,271,146,186,128,156,299,452,117,121,158,279,214,181
2021,5,90,422,26,16,20,21,15,17,20,14,37,81,11,19,22,41,36,26
2021,5,100,32,2,2,9,1,1,1,1,1,2,2,0,1,0,7,1,1
2021,6,총,"108,948","8,335","4,638","4,504","9,150","7,636","6,533","4,799","5,737","10,292","12,950","3,973","3,168","4,184","9,966","6,264","6,819"
2021,6,0,"6,765",476,172,88,332,641,438,391,362,634,"1,409",271,105,209,614,389,234
2021,6,10,"7,660",653,253,151,594,463,499,378,398,524,"1,442",244,129,211,569,726,426
2021,6,20,"15,841","1,266",799,435,"1,654","1,045",879,722,877,"1,571","1,422",448,580,691,"1,379",872,"1,201"
2021,6,30,"18,976","1,432",878,573,"1,707","1,751","1,049",912,982,"2,231","1,550",704,598,820,"1,883",732,"1,174"
2021,6,40,"17,127","1,319",676,669,"1,339","1,331","1,099",725,872,"1,416","2,176",620,420,672,"1,661","1,126","1,006"
2021,6,50,"17,985","1,353",662,"1,109","1,526","1,081","1,112",755,965,"1,665","2,203",634,498,571,"1,551","1,113","1,187"
2021,6,60,"13,875","1,054",631,956,"1,116",801,829,499,703,"1,316","1,475",608,473,493,"1,297",743,881
2021,6,70,"7,125",557,404,369,589,365,440,272,407,616,731,318,225,338,682,310,502
2021,6,80,"3,163",197,145,140,270,143,174,126,156,281,460,116,120,157,282,216,180
2021,6,90,404,26,16,10,22,14,14,18,14,36,80,10,19,22,40,36,27
2021,6,100,27,2,2,4,1,1,0,1,1,2,2,0,1,0,8,1,1
2021,7,총,"108,709","8,310","4,635","4,482","9,179","7,636","6,515","4,807","5,742","10,312","12,800","3,939","3,164","4,195","9,925","6,271","6,797"
2021,7,0,"6,726",476,172,90,337,635,433,391,362,643,"1,378",261,106,204,613,388,237
2021,7,10,"7,624",643,256,146,589,472,495,377,399,516,"1,435",243,129,217,557,727,423
2021,7,20,"15,775","1,264",793,434,"1,658","1,042",876,718,870,"1,581","1,408",445,569,698,"1,358",868,"1,193"
2021,7,30,"18,918","1,436",874,573,"1,710","1,739","1,054",912,970,"2,248","1,520",683,605,815,"1,874",736,"1,169"
